Year,State,Energy Price
1983,NV,5.96
1983,NY,7.11
1983,OH,6.73
1983,OK,5.61
1983,OR,6.23
1983,PA,6.67
1983,RI,6.91
1983,SC,6.5
1983,SD,5.66
1983,TN,6.4
1983,TX,6.27
1983,US,6.58
1983,UT,6.11
1983,VA,6.43
1983,VT,6.91
1983,WA,6.61
1983,WI,6.75
1983,WV,6.73
1983,WY,5.42
1984,AK,5.61
1984,AL,6.15
1984,AR,6.25
1984,AZ,6.02
1984,CA,6.67
1984,CO,6.03
1984,CT,7.0
1984,DC,6.16
1984,DE,6.06
1984,FL,6.52
1984,GA,6.51
1984,HI,5.96
1984,IA,6.39
1984,ID,6.14
1984,IL,6.38
1984,IN,6.14
1984,KS,5.95
1984,KY,6.63
1984,LA,6.29
1984,MA,7.04
1984,MD,6.49
1984,ME,6.69
1984,MI,6.58
1984,MN,6.27
1984,MO,6.46
1984,MS,6.04
1984,MT,5.23
1984,NC,6.46
1984,ND,5.91
1984,NE,6.04
1984,NH,6.38
1984,NJ,6.86
1984,NM,5.6
1984,NV,5.92
1984,NY,7.18
1984,OH,6.71
1984,OK,5.89
1984,OR,6.0
1984,PA,6.71
1984,RI,6.46
1984,SC,6.62
1984,SD,5.85
1984,TN,6.14
1984,TX,6.17
1984,US,6.54
1984,UT,5.86
1984,VA,6.42
1984,VT,6.5
1984,WA,6.32
1984,WI,6.6
1984,WV,6.69
1984,WY,5.49
1985,AK,5.1
1985,AL,6.0
1985,AR,6.09
1985,AZ,5.83
1985,CA,6.53
1985,CO,5.93
1985,CT,7.27
1985,DC,6.34
1985,DE,6.12
1985,FL,6.72
1985,GA,6.42
1985,HI,6.21
1985,IA,6.28
1985,ID,6.46
1985,IL,6.44
1985,IN,5.87
1985,KS,5.41
1985,KY,6.17
1985,LA,5.7
1985,MA,7.29
1985,MD,6.37
1985,ME,6.14
1985,MI,6.75
1985,MN,6.18
1985,MO,6.3
1985,MS,5.89
1985,MT,5.36
1985,NC,6.38
1985,ND,5.52
1985,NE,6.19
1985,NH,6.82
1985,NJ,7.04
1985,NM,5.63
1985,NV,6.08
1985,NY,6.9
1985,OH,6.39
1985,OK,5.34
1985,OR,6.15
1985,PA,6.5
1985,RI,6.66
1985,SC,6.26
1985,SD,5.81
1985,TN,6.12
1985,TX,5.67
1985,US,6.37
1985,UT,5.67
1985,VA,6.51
1985,VT,6.89
1985,WA,6.03
1985,WI,6.35
1985,WV,6.25
1985,WY,5.16
1986,AK,4.16
1986,AL,4.75
1986,AR,4.62
1986,AZ,4.33
1986,CA,5.08
1986,CO,4.5
1986,CT,5.22
1986,DC,4.62
1986,DE,4.92
1986,FL,4.95
1986,GA,5.35
1986,HI,4.49
1986,IA,4.99
1986,ID,4.4
1986,IL,5.02
1986,IN,4.74
1986,KS,4.62
1986,KY,4.9
1986,LA,4.01
1986,MA,5.65
1986,MD,5.63
1986,ME,4.88
1986,MI,5.53
1986,MN,4.89
1986,MO,4.94
1986,MS,4.9
1986,MT,4.35
1986,NC,4.97
1986,ND,4.59
1986,NE,4.62
1986,NH,5.45
1986,NJ,5.23
1986,NM,4.51
1986,NV,4.46
1986,NY,5.69
1986,OH,5.36
1986,OK,4.58
1986,OR,4.74
1986,PA,5.38
1986,RI,6.08
1986,SC,4.99
1986,SD,4.57
1986,TN,4.89
1986,TX,4.3
1986,US,4.92
1986,UT,4.38
1986,VA,4.99
1986,VT,6.01
1986,WA,4.54
1986,WI,5.14
1986,WV,4.99
1986,WY,4.36
1987,AK,4.13
1987,AL,4.49
1987,AR,4.57
1987,AZ,4.36
1987,CA,5.28
1987,CO,4.15
1987,CT,5.85
1987,DC,4.44
1987,DE,4.63
1987,FL,5.0
1987,GA,5.31
1987,HI,4.39
1987,IA,4.74
1987,ID,4.71
1987,IL,4.79
1987,IN,4.49
1987,KS,4.5
1987,KY,4.87
1987,LA,4.44
1987,MA,5.71
1987,MD,4.97
1987,ME,5.0
1987,MI,5.47
1987,MN,4.62
1987,MO,4.7
1987,MS,4.46
1987,MT,4.11
1987,NC,5.05
1987,ND,4.56
1987,NE,4.5
1987,NH,5.47
1987,NJ,5.45
1987,NM,4.32
1987,NV,4.27
1987,NY,5.82
1987,OH,5.24
1987,OK,4.29
1987,OR,4.48
1987,PA,5.23
1987,RI,5.18
1987,SC,5.26
1987,SD,4.39
1987,TN,4.56
1987,TX,4.34
1987,US,5.12
1987,UT,4.19
1987,VA,4.55
1987,VT,5.35
1987,WA,4.58
1987,WI,5.03
1987,WV,4.8
1987,WY,4.13
1988,AK,4.3
1988,AL,4.21
1988,AR,4.45
1988,AZ,4.45
1988,CA,5.06
1988,CO,3.83
1988,CT,5.31
1988,DC,4.34
1988,DE,4.26
1988,FL,4.93
1988,GA,5.13
1988,HI,4.06
1988,IA,4.69
1988,ID,4.4
1988,IL,4.52
1988,IN,4.47
1988,KS,4.16
1988,KY,4.61
1988,LA,3.88
1988,MA,5.23
1988,MD,4.71
1988,ME,4.43
1988,MI,5.15
1988,MN,4.61
1988,MO,4.71
1988,MS,4.42
1988,MT,4.03
1988,NC,4.76
1988,ND,4.29
1988,NE,4.27
1988,NH,5.11
1988,NJ,4.97
1988,NM,4.17
1988,NV,4.08
1988,NY,5.4
1988,OH,5.03
1988,OK,4.13
1988,OR,4.8
1988,PA,4.98
1988,RI,5.0
1988,SC,4.87
1988,SD,4.18
1988,TN,4.35
1988,TX,4.03
1988,US,4.84
1988,UT,3.95
1988,VA,4.42
1988,VT,5.41
1988,WA,4.38
1988,WI,4.89
1988,WV,4.52
1988,WY,3.9
1989,AK,4.62
1989,AL,4.88
1989,AR,4.51
1989,AZ,4.8
1989,CA,5.4
1989,CO,4.51
1989,CT,5.46
1989,DC,4.97
1989,DE,4.91
1989,FL,5.23
1989,GA,5.34
1989,HI,4.59
1989,IA,4.72
1989,ID,4.6
1989,IL,5.18
1989,IN,4.83
1989,KS,4.93
1989,KY,4.75
1989,LA,4.72
1989,MA,5.36
1989,MD,5.07
1989,ME,4.79
1989,MI,5.72
1989,MN,4.85
1989,MO,4.82
1989,MS,4.6
1989,MT,4.31
1989,NC,5.11
1989,ND,4.39
1989,NE,4.54
1989,NH,5.12
1989,NJ,5.16
1989,NM,4.79
1989,NV,4.79
1989,NY,5.41
1989,OH,5.45
1989,OK,4.44
1989,OR,4.86
1989,PA,5.38
1989,RI,5.22
1989,SC,5.33
1989,SD,4.72
1989,TN,4.68
1989,TX,4.23
1989,US,5.09
1989,UT,4.45
1989,VA,4.95
1989,VT,5.5
1989,WA,4.78
1989,WI,5.03
1989,WV,4.99
1989,WY,4.15
1990,AK,6.17
1990,AL,5.76
1990,AR,5.9
1990,AZ,5.5
1990,CA,6.21
1990,CO,5.34
1990,CT,6.7
1990,DC,5.47
1990,DE,5.27
1990,FL,5.94
1990,GA,5.9
1990,HI,5.79
1990,IA,5.73
1990,ID,4.91
1990,IL,6.33
1990,IN,5.62
1990,KS,5.23
1990,KY,5.75
1990,LA,5.85
1990,MA,6.38
1990,MD,5.47
1990,ME,5.92
1990,MI,6.4
1990,MN,5.68
1990,MO,5.73
1990,MS,5.02
1990,MT,4.98
1990,NC,5.77
1990,ND,5.5
1990,NE,6.03
1990,NH,6.25
1990,NJ,5.92
1990,NM,6.01
1990,NV,5.03
1990,NY,6.72
1990,OH,6.14
1990,OK,5.59
1990,OR,5.71
1990,PA,6.18
1990,RI,6.04
1990,SC,6.07
1990,SD,5.6
1990,TN,5.61
1990,TX,5.41
1990,US,5.97
1990,UT,5.04
1990,VA,5.64
1990,VT,6.6
1990,WA,5.68
1990,WI,5.99
1990,WV,6.03
1990,WY,4.75
1991,AK,5.5
1991,AL,5.42
1991,AR,5.61
1991,AZ,5.83
1991,CA,5.95
